date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:30	172/172	---M-Z	200	added ('OK')	text/plain	etag:%22072b864d1ddb1:0%22	https://my.shad.ir/robots.txt		(from )
20:18:31	9582/9582	---M-Z	200	added ('OK')	text/html	etag:%2206ffc1a4d1ddb1:0%22	https://my.shad.ir/	chat/my.shad.ir/index.html	(from )
20:18:31	50565/50565	---M--	200	added ('OK')	image/png	etag:%22072b864d1ddb1:0%22	https://my.shad.ir/assets/icons/icon.png	chat/my.shad.ir/assets/icons/icon.png	(from https://my.shad.ir/)
20:18:32	11548/11548	---M--	200	added ('OK')	image/png	etag:%22072b864d1ddb1:0%22	https://my.shad.ir/assets/icons/manifest/icon-192x192.png	chat/my.shad.ir/assets/icons/manifest/icon-192x192.png	(from https://my.shad.ir/)
20:18:33	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Jul%202025%2016:48:33%20GMT	https://my.shad.ir/assets/splash_screens/iPhone_14_Pro_Max_landscape.png	chat/my.shad.ir/assets/splash_screens/iPhone_14_Pro_Max_landscape.2.delayed	(from https://my.shad.ir/)
20:18:34	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Jul%202025%2016:48:34%20GMT	https://my.shad.ir/assets/splash_screens/iPhone_14_Pro_landscape.png	chat/my.shad.ir/assets/splash_screens/iPhone_14_Pro_landscape.3.delayed	(from https://my.shad.ir/)
20:18:36	165615/165615	---M--	200	added ('OK')	image/png	etag:%22072b864d1ddb1:0%22	https://my.shad.ir/assets/splash_screens/iPhone_14_Plus__iPhone_13_Pro_Max__iPhone_12_Pro_Max_landscape.png	chat/my.shad.ir/assets/splash_screens/iPhone_14_Plus__iPhone_13_Pro_Max__iPhone_12_Pro_Max_landscape.png	(from https://my.shad.ir/)
20:18:37	141747/141747	---M--	200	added ('OK')	image/png	etag:%22072b864d1ddb1:0%22	https://my.shad.ir/assets/splash_screens/iPhone_14__iPhone_13_Pro__iPhone_13__iPhone_12_Pro__iPhone_12_landscape.png	chat/my.shad.ir/assets/splash_screens/iPhone_14__iPhone_13_Pro__iPhone_13__iPhone_12_Pro__iPhone_12_landscape.png	(from https://my.shad.ir/)
20:18:38	132656/132656	---M--	200	added ('OK')	image/png	etag:%22072b864d1ddb1:0%22	https://my.shad.ir/assets/splash_screens/iPhone_13_mini__iPhone_12_mini__iPhone_11_Pro__iPhone_XS__iPhone_X_landscape.png	chat/my.shad.ir/assets/splash_screens/iPhone_13_mini__iPhone_12_mini__iPhone_11_Pro__iPhone_XS__iPhone_X_landscape.png	(from https://my.shad.ir/)
20:18:39	156374/156374	---M--	200	added ('OK')	image/png	etag:%22072b864d1ddb1:0%22	https://my.shad.ir/assets/splash_screens/iPhone_11_Pro_Max__iPhone_XS_Max_landscape.png	chat/my.shad.ir/assets/splash_screens/iPhone_11_Pro_Max__iPhone_XS_Max_landscape.png	(from https://my.shad.ir/)
20:18:39	78906/78906	---M--	200	added ('OK')	image/png	etag:%22072b864d1ddb1:0%22	https://my.shad.ir/assets/splash_screens/iPhone_11__iPhone_XR_landscape.png	chat/my.shad.ir/assets/splash_screens/iPhone_11__iPhone_XR_landscape.png	(from https://my.shad.ir/)
